Loaded 844 biological neurons from model/best_params.pickle (bin_size=20, activation_bin_size=20, evr>0.7).
Launching 15 task(s) with 7 worker(s): ['cuda:0', 'cuda:1', 'cuda:2', 'cuda:4', 'cuda:5', 'cuda:6', 'cuda:7']
Started random run 2 | seed=1235 | device=cuda:1 | trainable_params=22538 | total_params=23184
Epoch 013/300 | train_loss=271.5411 | train_acc=0.1124 | test_loss=46.0194 | test_acc=0.1135
Epoch 014/300 | train_loss=20.5378 | train_acc=0.9500 | test_loss=3.5051 | test_acc=0.6893
Epoch 015/300 | train_loss=15.6529 | train_acc=0.9627 | test_loss=3.4601 | test_acc=0.7939
Epoch 015/300 | train_loss=271.5423 | train_acc=0.1124 | test_loss=46.0188 | test_acc=0.1135
Epoch 017/300 | train_loss=15.8175 | train_acc=0.9610 | test_loss=2.5237 | test_acc=0.8664
Epoch 015/300 | train_loss=23.2484 | train_acc=0.9435 | test_loss=4.1715 | test_acc=0.6194
Epoch 015/300 | train_loss=19.9515 | train_acc=0.9504 | test_loss=4.0790 | test_acc=0.6547
Epoch 014/300 | train_loss=271.5363 | train_acc=0.1124 | test_loss=46.0194 | test_acc=0.1135
Epoch 015/300 | train_loss=18.9269 | train_acc=0.9545 | test_loss=3.4203 | test_acc=0.6175
Epoch 016/300 | train_loss=14.8711 | train_acc=0.9643 | test_loss=2.9789 | test_acc=0.8231
Epoch 018/300 | train_loss=14.1880 | train_acc=0.9651 | test_loss=2.8084 | test_acc=0.8159
Epoch 016/300 | train_loss=271.5404 | train_acc=0.1124 | test_loss=46.0193 | test_acc=0.1135
Epoch 016/300 | train_loss=20.0772 | train_acc=0.9514 | test_loss=3.7236 | test_acc=0.7291
Epoch 015/300 | train_loss=271.5372 | train_acc=0.1124 | test_loss=46.0192 | test_acc=0.1135
Epoch 016/300 | train_loss=21.8380 | train_acc=0.9474 | test_loss=4.0473 | test_acc=0.6451
Epoch 016/300 | train_loss=18.3708 | train_acc=0.9553 | test_loss=3.0658 | test_acc=0.6501
Epoch 017/300 | train_loss=14.5681 | train_acc=0.9654 | test_loss=2.6409 | test_acc=0.8427
Epoch 019/300 | train_loss=13.5804 | train_acc=0.9676 | test_loss=3.1896 | test_acc=0.8812
Epoch 017/300 | train_loss=19.0776 | train_acc=0.9530 | test_loss=3.8600 | test_acc=0.6972
Epoch 017/300 | train_loss=271.5483 | train_acc=0.1124 | test_loss=46.0192 | test_acc=0.1135
Epoch 017/300 | train_loss=21.7095 | train_acc=0.9464 | test_loss=5.6109 | test_acc=0.6141
Epoch 017/300 | train_loss=17.1976 | train_acc=0.9576 | test_loss=3.3684 | test_acc=0.7375
Epoch 016/300 | train_loss=271.5386 | train_acc=0.1124 | test_loss=46.0193 | test_acc=0.1135
Epoch 018/300 | train_loss=14.7735 | train_acc=0.9648 | test_loss=3.2298 | test_acc=0.8335
Epoch 020/300 | train_loss=13.2006 | train_acc=0.9675 | test_loss=2.5646 | test_acc=0.8692
Epoch 018/300 | train_loss=18.6394 | train_acc=0.9543 | test_loss=3.6052 | test_acc=0.7114
Epoch 018/300 | train_loss=271.5393 | train_acc=0.1124 | test_loss=46.0192 | test_acc=0.1135
Epoch 018/300 | train_loss=20.5779 | train_acc=0.9499 | test_loss=3.4664 | test_acc=0.7301
Epoch 018/300 | train_loss=17.7762 | train_acc=0.9574 | test_loss=3.2847 | test_acc=0.7139
Epoch 017/300 | train_loss=271.5407 | train_acc=0.1124 | test_loss=46.0194 | test_acc=0.1135
